Sample,PE Reads Aligned,SE Reads Aligned,Total Reads Aligned,For Normalization,,,,
11430,"51,283,162","4,758,982","56,042,144","28,021,072",,,,
207,"36,329,718","3,823,157","40,152,875","20,076,437",,,,
29MIBZ2,"30,285,984","3,539,642","33,825,626","16,912,813",,,,
2FACC,"55,676,282","3,905,878","59,582,160","29,791,080",,,,
2MA22,"33,584,170","3,483,146","37,067,316","18,533,658",,,,
33-16,"25,129,390","2,920,294","28,049,684","14,024,842",,,,
38-11,"60,810,468","4,898,215","65,708,683","32,854,341",,,,
3IIH6,"29,377,362","2,668,694","32,046,056","16,023,028",,,,
4226,"68,122,536","4,758,367","72,880,903","36,440,451",,,,
4676A,"70,095,680","6,221,089","76,316,769","38,158,384",,,,
4722,"58,416,858","4,259,288","62,676,146","31,338,073",,,,
5707,"51,932,334","4,189,381","56,121,715","28,060,857",,,,
6F629,"50,004,060","4,255,402","54,259,462","27,129,731",,,,
764,"45,531,256","3,495,640","49,026,896","24,513,448",,,,
778,"58,563,422","4,832,247","63,395,669","31,697,834",,,,
779,"78,279,944","6,602,306","84,882,250","42,441,125",,,,
78004,"30,211,088","2,110,368","32,321,456","16,160,728",,,,
78010,"53,990,496","3,667,107","57,657,603","28,828,801",,,,
78371A,"65,656,324","6,624,891","72,281,215","36,140,607",,,,
78551S,"41,310,580","3,109,603","44,420,183","22,210,091",,,,
792,"42,229,366","3,246,025","45,475,391","22,737,695",,,,
793,"62,679,616","4,094,344","66,773,960","33,386,980",,,,
807,"32,356,944","3,045,315","35,402,259","17,701,129",,,,
A188,"23,357,878","2,259,718","25,617,596","12,808,798",,,,
A214N,"50,364,324","3,567,323","53,931,647","26,965,823",,,,
A239,"87,698,046","8,679,595","96,377,641","48,188,820",,,,
A441-5,"17,026,056","1,752,663","18,778,719","9,389,359",,,,
A554,"47,350,100","4,061,106","51,411,206","25,705,603",,,,
A556,"98,859,582","11,367,578","110,227,160","55,113,580",,,,
A6,"22,281,774","2,138,398","24,420,172","12,210,086",,,,
A619,"41,404,180","3,243,925","44,648,105","22,324,052",,,,
A632,"45,121,652","3,968,935","49,090,587","24,545,293",,,,
A634,"62,402,380","5,019,847","67,422,227","33,711,113",,,,
A635,"35,814,988","3,538,529","39,353,517","19,676,758",,,,
A641,"24,720,876","2,673,066","27,393,942","13,696,971",,,,
A654,"55,455,230","4,641,634","60,096,864","30,048,432",,,,
A659,"70,297,496","4,806,992","75,104,488","37,552,244",,,,
A661,"54,473,622","5,271,902","59,745,524","29,872,762",,,,
A679,"97,124,452","6,206,934","103,331,386","51,665,693",,,,
A680,"49,399,198","3,571,610","52,970,808","26,485,404",,,,
A682,"56,871,512","4,450,842","61,322,354","30,661,177",,,,
AQA3,"29,075,786","3,059,893","32,135,679","16,067,839",,,,
Ab28A,"42,225,630","4,339,998","46,565,628","23,282,814",,,,
B10,"43,078,972","3,271,165","46,350,137","23,175,068",,,,
B103,"82,688,114","8,336,878","91,024,992","45,512,496",,,,
B104,"82,073,056","6,197,441","88,270,497","44,135,248",,,,
B105,"61,762,636","4,918,005","66,680,641","33,340,320",,,,
B109,"69,946,346","4,369,647","74,315,993","37,157,996",,,,
B14A,"23,743,842","1,724,362","25,468,204","12,734,102",,,,
B164,"42,290,898","4,215,581","46,506,479","23,253,239",,,,
B2,"39,003,734","3,694,836","42,698,570","21,349,285",,,,
B37,"38,205,250","3,016,842","41,222,092","20,611,046",,,,
B46,"57,052,478","3,834,745","60,887,223","30,443,611",,,,
B52,"95,105,740","8,711,645","103,817,385","51,908,692",,,,
B57,"40,090,596","3,152,620","43,243,216","21,621,608",,,,
B64,"28,193,970","2,361,007","30,554,977","15,277,488",,,,
B68,"124,951,800","11,544,552","136,496,352","68,248,176",,,,
B73@,"41,560,998","3,167,122","44,728,120","22,364,060",,,,
B73Htrhm,"45,205,594","2,380,471","47,586,065","23,793,032",,,,
B75,"36,475,464","3,143,767","39,619,231","19,809,615",,,,
B76,"56,032,274","4,215,307","60,247,581","30,123,790",,,,
B77,"47,303,302","4,042,985","51,346,287","25,673,143",,,,
B79,"43,852,288","3,827,309","47,679,597","23,839,798",,,,
B84,"56,003,562","4,088,136","60,091,698","30,045,849",,,,
B97@,"67,864,368","8,280,956","76,145,324","38,072,662",,,,
BO9,"68,641,270","5,625,430","74,266,700","37,133,350",,,,
Black_Jewell_85,"37,918,074","3,482,070","41,400,144","20,700,072",,,,
C103,"40,349,046","3,647,898","43,996,944","21,998,472",,,,
C123,"43,979,086","4,395,818","48,374,904","24,187,452",,,,
C49A,"39,168,884","3,467,338","42,636,222","21,318,111",,,,
CH701-30,"55,459,890","6,004,606","61,464,496","30,732,248",,,,
CH9,"104,554,428","7,716,317","112,270,745","56,135,372",,,,
CI187-2,"69,822,722","5,480,115","75,302,837","37,651,418",,,,
CI21E,"50,967,686","3,817,159","54,784,845","27,392,422",,,,
CI28A,"56,932,812","4,127,723","61,060,535","30,530,267",,,,
CI31A,"49,951,582","4,907,367","54,858,949","27,429,474",,,,
CI3A,"35,580,088","2,855,898","38,435,986","19,217,993",,,,
CI64,"35,670,278","3,497,162","39,167,440","19,583,720",,,,
CI66,"69,047,996","6,846,155","75,894,151","37,947,075",,,,
CI7,"55,403,648","3,917,561","59,321,209","29,660,604",,,,
CI90C,"41,620,190","4,166,982","45,787,172","22,893,586",,,,
CI91B,"49,411,638","3,160,038","52,571,676","26,285,838",,,,
CM105,"50,395,916","3,377,564","53,773,480","26,886,740",,,,
CM174,"44,670,652","4,139,588","48,810,240","24,405,120",,,,
CM37,"37,005,524","3,838,576","40,844,100","20,422,050",,,,
CM7,"28,286,596","2,294,277","30,580,873","15,290,436",,,,
CML10,"42,297,322","3,604,986","45,902,308","22,951,154",,,,
CML103@,"120,722,398","9,856,828","130,579,226","65,289,613",,,,
CML108,"52,281,382","4,421,109","56,702,491","28,351,245",,,,
CML11,"78,385,674","9,432,879","87,818,553","43,909,276",,,,
CML14,"47,589,280","3,987,660","51,576,940","25,788,470",,,,
CML154Q,"31,770,270","2,635,715","34,405,985","17,202,992",,,,
CML157Q,"21,744,888","1,760,339","23,505,227","11,752,613",,,,
CML158Q,"167,957,228","13,576,851","181,534,079","90,767,039",,,,
CML218,"86,697,358","9,428,165","96,125,523","48,062,761",,,,
CML220,"30,225,684","2,444,779","32,670,463","16,335,231",,,,
CML228@,"99,086,600","8,392,430","107,479,030","53,739,515",,,,
CML238,"50,841,324","4,118,236","54,959,560","27,479,780",,,,
CML247@,"41,477,262","3,484,657","44,961,919","22,480,959",,,,
CML254,"43,993,480","4,214,655","48,208,135","24,104,067",,,,
CML258,"27,885,262","3,275,746","31,161,008","15,580,504",,,,
CML261,"45,978,224","4,958,727","50,936,951","25,468,475",,,,
CML264,"29,390,742","3,111,327","32,502,069","16,251,034",,,,
CML277@,"33,212,152","2,820,828","36,032,980","18,016,490",,,,
CML281,"49,805,932","4,024,658","53,830,590","26,915,295",,,,
CML287,"74,660,390","7,972,724","82,633,114","41,316,557",,,,
CML311,"37,747,180","3,006,678","40,753,858","20,376,929",,,,
CML314,"36,850,840","3,009,544","39,860,384","19,930,192",,,,
CML321,"57,103,914","5,657,402","62,761,316","31,380,658",,,,
CML322@,"108,457,040","11,079,472","119,536,512","59,768,256",,,,
CML323,"40,780,156","3,217,419","43,997,575","21,998,787",,,,
CML328,"27,734,232","2,146,490","29,880,722","14,940,361",,,,
CML331,"53,537,010","4,514,937","58,051,947","29,025,973",,,,
CML332,"49,256,622","4,121,874","53,378,496","26,689,248",,,,
CML333@,"22,210,532","2,057,976","24,268,508","12,134,254",,,,
CML341,"23,888,390","2,013,446","25,901,836","12,950,918",,,,
CML38,"54,772,572","5,870,157","60,642,729","30,321,364",,,,
CML45,"54,229,646","4,717,362","58,947,008","29,473,504",,,,
CML5,"63,353,836","6,472,895","69,826,731","34,913,365",,,,
CML52@,"21,457,816","1,805,371","23,263,187","11,631,593",,,,
CML61,"59,662,730","5,119,472","64,782,202","32,391,101",,,,
CML69@,"57,139,880","4,753,074","61,892,954","30,946,477",,,,
CML77,"36,608,934","3,777,641","40,386,575","20,193,287",,,,
CML91,"29,542,214","2,513,323","32,055,537","16,027,768",,,,
CML92,"59,662,076","4,942,732","64,604,808","32,302,404",,,,
CMV3,"75,415,808","5,786,343","81,202,151","40,601,075",,,,
CO106,"103,356,854","10,834,584","114,191,438","57,095,719",,,,
CO125,"33,383,754","2,430,813","35,814,567","17,907,283",,,,
CO255,"52,689,882","5,291,590","57,981,472","28,990,736",,,,
CQ702RC,"50,408,976","4,311,871","54,720,847","27,360,423",,,,
CR14,"41,245,576","4,453,767","45,699,343","22,849,671",,,,
CR1HT,"62,154,726","6,022,453","68,177,179","34,088,589",,,,
CS405,"80,831,890","6,060,750","86,892,640","43,446,320",,,,
CS608,"50,558,768","3,546,942","54,105,710","27,052,855",,,,
D940Y,"42,293,636","3,167,882","45,461,518","22,730,759",,,,
DE1,"50,408,948","5,021,660","55,430,608","27,715,304",,,,
DE811,"33,553,752","2,816,859","36,370,611","18,185,305",,,,
DE_2,"53,222,146","5,242,061","58,464,207","29,232,103",,,,
DJ7,"46,121,424","2,464,479","48,585,903","24,292,951",,,,
E2558W,"67,690,218","7,239,192","74,929,410","37,464,705",,,,
E8501,"28,282,982","3,035,743","31,318,725","15,659,362",,,,
EP1,"50,017,094","6,016,742","56,033,836","28,016,918",,,,
F118,"104,092,052","7,264,069","111,356,121","55,678,060",,,,
F2834T,"94,787,282","11,721,138","106,508,420","53,254,210",,,,
F42,"39,688,616","2,839,366","42,527,982","21,263,991",,,,
F44,"34,506,950","3,040,564","37,547,514","18,773,757",,,,
F6,"70,004,452","5,938,945","75,943,397","37,971,698",,,,
F7,"39,601,600","3,443,901","43,045,501","21,522,750",,,,
FAPW,"36,550,594","2,802,812","39,353,406","19,676,703",,,,
FBHJ,"46,028,730","3,746,710","49,775,440","24,887,720",,,,
FBLA,"30,295,446","3,003,173","33,298,619","16,649,309",,,,
FR19,"32,326,834","2,685,933","35,012,767","17,506,383",,,,
Florida_32,"92,295,686","8,891,142","101,186,828","50,593,414",,,,
G80,"32,837,806","3,271,465","36,109,271","18,054,635",,,,
GA209,"35,052,842","3,375,688","38,428,530","19,214,265",,,,
GT112,"61,352,394","5,971,893","67,324,287","33,662,143",,,,
H105W,"57,774,942","4,085,671","61,860,613","30,930,306",,,,
H49,"40,722,164","3,620,141","44,342,305","22,171,152",,,,
H84,"53,538,346","4,300,291","57,838,637","28,919,318",,,,
H8431,"54,745,866","4,064,682","58,810,548","29,405,274",,,,
H91,"54,454,734","3,951,285","58,406,019","29,203,009",,,,
H95,"33,989,172","3,614,611","37,603,783","18,801,891",,,,
H99,"51,085,648","4,218,758","55,304,406","27,652,203",,,,
HB8229,"49,111,808","4,911,715","54,023,523","27,011,761",,,,
HBA1,"72,664,024","6,137,466","78,801,490","39,400,745",,,,
HP301@,"51,351,476","4,811,028","56,162,504","28,081,252",,,,
Hi27,"35,936,942","3,257,288","39,194,230","19,597,115",,,,
Hy,"58,743,760","4,612,362","63,356,122","31,678,061",,,,
I137TN,"62,033,302","5,063,290","67,096,592","33,548,296",,,,
I205,"42,030,944","3,388,448","45,419,392","22,709,696",,,,
I29,"54,210,446","4,570,437","58,780,883","29,390,441",,,,
IA2132,"39,637,876","2,656,692","42,294,568","21,147,284",,,,
IA5125,"98,405,556","10,976,993","109,382,549","54,691,274",,,,
ICI740,"78,590,506","5,102,608","83,693,114","41,846,557",,,,
