ID,Height,Radius,HtRa,diameter,area,volume,para_coeff,surface_area,arc_length
Ames10248,9.0688,1.2589,0.06275,2.5179,1040.01,82685,0.000103,3085.61,17.5834
Ames12729,-36.876,-2.6843,-0.3145,-5.3687,-4382.02,-444083,-0.00105,-12858,-67.2922
Ames12731,19.9096,-0.6425,0.1926,-1.2851,1758.96,111093,0.00068,4749.93,35.7861
Ames12732,-14.5585,0.32,-0.1276,0.64,-1717.98,-175761,-0.00045,-4701.82,-25.0388
Ames12734,-30.6417,-3.5059,-0.2461,-7.0117,-3812.76,-399188,-0.00076,-11619,-58.6669
Ames12735,-11.6064,-1.4793,-0.06782,-2.9586,-1753.81,-210826,-0.00018,-5543.97,-24.1366
Ames15929,4.5897,5.5308,-0.04426,11.0615,1446.07,207675,-0.00046,5425.77,15.1589
Ames18999,18.7345,2.2681,0.1247,4.5363,2429.69,241198,0.00024,7296.99,36.216
Ames19000,-1.9341,-3.9479,0.04649,-7.8959,-1248.52,-210064,0.000294,-4787.67,-9.6814
Ames19002,-7.4861,-3.6702,-0.01105,-7.3404,-1540.42,-209094,0.000137,-5472.31,-19.4101
Ames19016,-18.7759,7.1267,-0.2562,14.2534,-1103.51,-28636,-0.00118,-1040.17,-22.4216
Ames19284,-4.3622,1.1318,-0.05016,2.2637,-406.84,-44122,-0.00024,-1001.71,-6.7831
Ames19288,-9.5546,-2.8704,-0.046,-5.7408,-1585.23,-196020,-0.0001,-5508.05,-22.9969
Ames19293,-4.1308,-5.0717,0.04791,-10.1435,-1527.01,-230502,0.000414,-5778.64,-15.1792
Ames19308,-13.6384,-4.9514,-0.04001,-9.9028,-2470.26,-299470,0.000055,-8412.08,-32.6847
Ames19309,-13.0654,-5.3601,-0.04572,-10.7202,-2376.02,-307612,0.000057,-8285.71,-31.6105
Ames19311,-10.6555,4.7797,-0.1657,9.5594,-230.4,76153,-0.00078,751.09,-12.5174
Ames19313,-17.3493,-3.1022,-0.1106,-6.2043,-2525.21,-295367,-0.00029,-8047.12,-35.5582
Ames19314,3.8521,-9.3451,0.2091,-18.6902,-1729.55,-303494,0.001297,-7348.88,-6.5933
Ames19316,-4.3381,-2.5688,-0.00254,-5.1376,-1095.36,-168714,0.000053,-4034.77,-12.4336
Ames19319,-2.3519,-0.1494,-0.01958,-0.2989,-491.7,-84534,-0.00012,-1634.46,-4.9107
Ames19323,-4.3276,5.0491,-0.1018,10.0981,438.59,104380,-0.00053,2574.09,-0.7794
Ames19326,-30.3275,-6.7919,-0.2039,-13.5839,-4173.21,-459881,-0.00047,-13514,-63.1357
Ames19327,-5.5571,-6.6802,0.05027,-13.3604,-1947.68,-297899,0.000442,-7483.09,-20.4527
Ames19328,0.7452,2.3764,-0.03428,4.7528,506.39,66098,-0.00025,1890.07,4.0863
Ames19330,2.2838,10.9153,-0.1294,21.8305,2350.9,409795,-0.00085,9751.72,19.4677
Ames20140,-3.6111,4.3365,-0.06514,8.6729,361.36,92362,-0.0003,2475.07,0.7547
Ames20190,-19.6843,6.0507,-0.2101,12.1014,-1342.67,-55656,-0.00083,-1759.51,-25.4738
Ames21512,2.2845,-3.2712,0.1119,-6.5423,-622.81,-124579,0.000789,-2574.34,-0.2534
Ames22440,6.6589,4.1694,-0.00747,8.3388,1328.67,154257,-0.0003,4649.07,17.0493
Ames22443,9.4355,3.3479,0.02262,6.6958,1590.07,176818,-0.00018,5128.32,20.598
Ames22754,21.1305,-0.8309,0.229,-1.6618,1851.39,140932,0.000959,5135.44,38.0615
Ames22763,-17.7472,-3.2906,-0.08197,-6.5812,-2685.77,-299975,-0.000000271,-8331.66,-36.3098
Ames23405,3.9346,2.7141,-0.00811,5.4283,791.46,88352,-0.00021,2776.11,10.1651
Ames23450,-5.788,-6.3381,0.05301,-12.6762,-1954.32,-291026,0.000495,-7363.75,-20.2384
Ames23503,19.648,9.1457,0.02139,18.2914,4190.44,574515,-0.00035,14395,48.1168
Ames24575,-2.5354,-6.9797,0.09716,-13.9593,-1625.79,-262301,0.000763,-6455.03,-14.5451
Ames24576,-6.4863,-5.067,0.0219,-10.134,-2028.07,-288545,0.000211,-7559.52,-22.1025
Ames24577,-11.3617,-3.1887,-0.03689,-6.3773,-1987.97,-226348,-0.00002,-6728.33,-27.9094
Ames24734,-12.0438,2.2212,-0.1463,4.4425,-999.76,-76517,-0.00066,-2324.02,-18.5106
Ames24752,-15.4229,-13.5049,0.09657,-27.0098,-3933.46,-518876,0.001317,-14429,-46.5827
Ames24989,16.0627,-4.5151,0.232,-9.0303,686.05,-34862,0.001075,707.98,22.7027
Ames26116,-2.6924,-3.412,0.02098,-6.824,-945.04,-153714,0.000191,-3779.71,-10.6137
Ames26138,-21.7311,0.2616,-0.1842,0.5232,-2538.06,-257790,-0.00064,-7027.23,-37.8325
Ames26604,6.6066,0.4374,0.06027,0.8748,525.92,14757,0.000153,1479.87,12.357
Ames26769,13.7486,1.83,0.1045,3.6601,1616.77,152766,0.000287,5092.16,27.8956
Ames26771,6.2799,0.4485,0.06155,0.897,509.83,23637,0.000213,1489.1,12.003
Ames26808,0.2151,-4.6326,0.07698,-9.2652,-1012.8,-194140,0.000465,-4271.6,-6.6761
Ames27038,15.7779,4.6745,0.04567,9.3489,2731.47,311818,-0.00009,8888.62,35.6381
Ames27050,43.5143,27.7116,-0.02942,55.4232,12270,2143446,-0.00108,43787,115.79
Ames27062,9.7953,1.0251,0.05376,2.0501,1183.9,91220,0.000022,3398.62,18.8203
Ames27063,-8.5076,-3.3886,-0.04257,-6.7771,-1351.38,-165133,-0.00002,-4819.51,-20.7667
