Genotype,gHat,log2vol,Fix,P1,P2
SAM366xSAM375,19.657145709,-9,1,SAM366,SAM375
SAM375xSAM382,19.669296175,-9,1,SAM375,SAM382
SAM362xSAM375,19.702105284,-9,1,SAM362,SAM375
SAM375xSAM377,19.710373372,-9,1,SAM375,SAM377
SAM366xSAM382,19.715476841,-9,1,SAM366,SAM382
SAM375xSAM378,19.717603266,-9,1,SAM375,SAM378
SAM367xSAM375,19.718548179,-9,1,SAM367,SAM375
SAM352xSAM375,19.722183496,-9,1,SAM352,SAM375
SAM375xSAM381,19.72855927,-9,1,SAM375,SAM381
SAM356xSAM375,19.730979532,-9,1,SAM356,SAM375
SAM362xSAM366,19.748285949,-9,1,SAM362,SAM366
SAM353xSAM375,19.755824804,-9,1,SAM353,SAM375
SAM365xSAM375,19.755873248,-9,1,SAM365,SAM375
SAM366xSAM377,19.756556406,-9,1,SAM366,SAM377
SAM373xSAM375,19.756942004,-9,1,SAM373,SAM375
SAM369xSAM375,19.757073894,-9,1,SAM369,SAM375
SAM358xSAM375,19.759654581,-9,1,SAM358,SAM375
SAM362xSAM382,19.760435089,-9,1,SAM362,SAM382
SAM366xSAM378,19.763785824,-9,1,SAM366,SAM378
SAM366xSAM367,19.764731273,-9,1,SAM366,SAM367
SAM352xSAM366,19.768367007,-9,1,SAM352,SAM366
SAM372xSAM375,19.768499791,-9,1,SAM372,SAM375
SAM377xSAM382,19.768705949,-9,1,SAM377,SAM382
SAM366xSAM381,19.774741798,-9,1,SAM366,SAM381
SAM378xSAM382,19.775934443,-9,1,SAM378,SAM382
SAM367xSAM382,19.776882604,-9,1,SAM367,SAM382
SAM361xSAM375,19.776931062,-9,1,SAM361,SAM375
SAM356xSAM366,19.777161389,-9,1,SAM356,SAM366
SAM352xSAM382,19.780516073,-9,1,SAM352,SAM382
SAM381xSAM382,19.786891192,-9,1,SAM381,SAM382
SAM356xSAM382,19.789313376,-9,1,SAM356,SAM382
SAM360xSAM375,19.790134325,-9,1,SAM360,SAM375
SAM354xSAM375,19.79067336,-9,1,SAM354,SAM375
SAM375xSAM379,19.791539281,-9,1,SAM375,SAM379
SAM339xSAM375,19.792804837,-9,1,SAM339,SAM375
SAM363xSAM375,19.797624916,-9,1,SAM363,SAM375
SAM348xSAM375,19.797714084,-9,1,SAM348,SAM375
SAM337xSAM375,19.799630299,-9,1,SAM337,SAM375
SAM362xSAM377,19.801512107,-9,1,SAM362,SAM377
SAM353xSAM366,19.802005842,-9,1,SAM353,SAM366
SAM365xSAM366,19.802052542,-9,1,SAM365,SAM366
SAM366xSAM373,19.80312255,-9,1,SAM366,SAM373
SAM366xSAM369,19.803255036,-9,1,SAM366,SAM369
SAM374xSAM375,19.803769052,-9,1,SAM374,SAM375
SAM344xSAM375,19.805053592,-9,1,SAM344,SAM375
SAM358xSAM366,19.805835947,-9,1,SAM358,SAM366
SAM332xSAM375,19.806473791,-9,1,SAM332,SAM375
SAM362xSAM378,19.808743208,-9,1,SAM362,SAM378
SAM355xSAM375,19.808971315,-9,1,SAM355,SAM375
SAM349xSAM375,19.809349119,-9,1,SAM349,SAM375
SAM362xSAM367,19.809689149,-9,1,SAM362,SAM367
SAM351xSAM375,19.811755761,-9,1,SAM351,SAM375
SAM352xSAM362,19.813324645,-9,1,SAM352,SAM362
SAM353xSAM382,19.814155742,-9,1,SAM353,SAM382
SAM365xSAM382,19.814201966,-9,1,SAM365,SAM382
SAM366xSAM372,19.814679384,-9,1,SAM366,SAM372
SAM373xSAM382,19.815273464,-9,1,SAM373,SAM382
SAM369xSAM382,19.815406069,-9,1,SAM369,SAM382
SAM377xSAM378,19.817015678,-9,1,SAM377,SAM378
SAM367xSAM377,19.817958444,-9,1,SAM367,SAM377
SAM358xSAM382,19.817986503,-9,1,SAM358,SAM382
SAM362xSAM381,19.819700435,-9,1,SAM362,SAM381
SAM357xSAM375,19.820280298,-9,1,SAM357,SAM375
SAM352xSAM377,19.821593299,-9,1,SAM352,SAM377
SAM356xSAM362,19.82211867,-9,1,SAM356,SAM362
SAM361xSAM366,19.823109984,-9,1,SAM361,SAM366
SAM343xSAM375,19.824428424,-9,1,SAM343,SAM375
SAM367xSAM378,19.825189948,-9,1,SAM367,SAM378
SAM364xSAM375,19.826414287,-9,1,SAM364,SAM375
SAM372xSAM382,19.826829851,-9,1,SAM372,SAM382
SAM377xSAM381,19.827969849,-9,1,SAM377,SAM381
SAM352xSAM378,19.828823671,-9,1,SAM352,SAM378
SAM336xSAM375,19.829350054,-9,1,SAM336,SAM375
SAM352xSAM367,19.829769999,-9,1,SAM352,SAM367
SAM356xSAM377,19.830388754,-9,1,SAM356,SAM377
SAM378xSAM381,19.835199907,-9,1,SAM378,SAM381
SAM361xSAM382,19.83525981,-9,1,SAM361,SAM382
SAM367xSAM381,19.836145684,-9,1,SAM367,SAM381
SAM360xSAM366,19.836316466,-9,1,SAM360,SAM366
SAM354xSAM366,19.836855009,-9,1,SAM354,SAM366
SAM356xSAM378,19.837619185,-9,1,SAM356,SAM378
SAM366xSAM379,19.837722048,-9,1,SAM366,SAM379
SAM350xSAM375,19.838389724,-9,1,SAM350,SAM375
SAM356xSAM367,19.838565439,-9,1,SAM356,SAM367
SAM339xSAM366,19.838985532,-9,1,SAM339,SAM366
SAM333xSAM375,19.839081123,-9,1,SAM333,SAM375
SAM352xSAM381,19.839781567,-9,1,SAM352,SAM381
SAM352xSAM356,19.84220089,-9,1,SAM352,SAM356
SAM363xSAM366,19.843806192,-9,1,SAM363,SAM366
SAM348xSAM366,19.843894481,-9,1,SAM348,SAM366
SAM334xSAM375,19.845550284,-9,1,SAM334,SAM375
SAM337xSAM366,19.845812395,-9,1,SAM337,SAM366
SAM353xSAM362,19.846963629,-9,1,SAM353,SAM362
SAM362xSAM365,19.847012073,-9,1,SAM362,SAM365
SAM362xSAM373,19.848080739,-9,1,SAM362,SAM373
SAM362xSAM369,19.848214522,-9,1,SAM362,SAM369
SAM360xSAM382,19.848466262,-9,1,SAM360,SAM382
SAM356xSAM381,19.848575458,-9,1,SAM356,SAM381
SAM354xSAM382,19.849003509,-9,1,SAM354,SAM382
SAM379xSAM382,19.849870801,-9,1,SAM379,SAM382
SAM366xSAM374,19.849950015,-9,1,SAM366,SAM374
SAM358xSAM362,19.850791588,-9,1,SAM358,SAM362
SAM339xSAM382,19.851136088,-9,1,SAM339,SAM382
SAM344xSAM366,19.851236127,-9,1,SAM344,SAM366
SAM341xSAM375,19.852604225,-9,1,SAM341,SAM375
SAM332xSAM366,19.852655172,-9,1,SAM332,SAM366
SAM329xSAM375,19.854919337,-9,1,SAM329,SAM375
SAM355xSAM366,19.855151914,-9,1,SAM355,SAM366
SAM353xSAM377,19.85523577,-9,1,SAM353,SAM377
SAM365xSAM377,19.855282537,-9,1,SAM365,SAM377
SAM349xSAM366,19.855529703,-9,1,SAM349,SAM366
SAM363xSAM382,19.855955846,-9,1,SAM363,SAM382
SAM348xSAM382,19.856044307,-9,1,SAM348,SAM382
SAM373xSAM377,19.856353,-9,1,SAM373,SAM377
SAM347xSAM375,19.856408715,-9,1,SAM347,SAM375
SAM369xSAM377,19.856486589,-9,1,SAM369,SAM377
SAM351xSAM366,19.857935257,-9,1,SAM351,SAM366
SAM337xSAM382,19.857962653,-9,1,SAM337,SAM382
SAM358xSAM377,19.859063275,-9,1,SAM358,SAM377
SAM362xSAM372,19.859637067,-9,1,SAM362,SAM372
SAM331xSAM375,19.860767342,-9,1,SAM331,SAM375
SAM374xSAM382,19.862099968,-9,1,SAM374,SAM382
SAM353xSAM378,19.862464905,-9,1,SAM353,SAM378
SAM365xSAM378,19.862512395,-9,1,SAM365,SAM378
SAM344xSAM382,19.863385796,-9,1,SAM344,SAM382
SAM353xSAM367,19.863408267,-9,1,SAM353,SAM367
SAM365xSAM367,19.863456599,-9,1,SAM365,SAM367
SAM373xSAM378,19.863582834,-9,1,SAM373,SAM378
SAM369xSAM378,19.863715991,-9,1,SAM369,SAM378
SAM367xSAM373,19.864527292,-9,1,SAM367,SAM373
SAM367xSAM369,19.86465957,-9,1,SAM367,SAM369
SAM332xSAM382,19.864805154,-9,1,SAM332,SAM382
SAM358xSAM378,19.86629387,-9,1,SAM358,SAM378
SAM357xSAM366,19.866461672,-9,1,SAM357,SAM366
SAM352xSAM353,19.867043041,-9,1,SAM352,SAM353
SAM352xSAM365,19.867091961,-9,1,SAM352,SAM365
SAM358xSAM367,19.867238372,-9,1,SAM358,SAM367
SAM355xSAM382,19.867301263,-9,1,SAM355,SAM382
SAM349xSAM382,19.867680006,-9,1,SAM349,SAM382
SAM372xSAM377,19.867909528,-9,1,SAM372,SAM377
SAM361xSAM362,19.86806798,-9,1,SAM361,SAM362
SAM352xSAM373,19.868162349,-9,1,SAM352,SAM373
SAM352xSAM369,19.868294686,-9,1,SAM352,SAM369
SAM335xSAM375,19.869673148,-9,1,SAM335,SAM375
SAM351xSAM382,19.870085619,-9,1,SAM351,SAM382
SAM343xSAM366,19.870609253,-9,1,SAM343,SAM366
SAM352xSAM358,19.870874494,-9,1,SAM352,SAM358
SAM364xSAM366,19.872595586,-9,1,SAM364,SAM366
SAM353xSAM381,19.873420723,-9,1,SAM353,SAM381
SAM365xSAM381,19.873467736,-9,1,SAM365,SAM381
SAM373xSAM381,19.874539465,-9,1,SAM373,SAM381
SAM369xSAM381,19.874670937,-9,1,SAM369,SAM381
SAM372xSAM378,19.875138789,-9,1,SAM372,SAM378
SAM336xSAM366,19.875531263,-9,1,SAM336,SAM366
SAM330xSAM375,19.8758371918,-9,1,SAM330,SAM375
SAM353xSAM356,19.875838518,-9,1,SAM353,SAM356
SAM356xSAM365,19.8758868275,-9,1,SAM356,SAM365
SAM367xSAM372,19.8760835899,-9,1,SAM367,SAM372
SAM361xSAM377,19.8763393236,-9,1,SAM361,SAM377
SAM356xSAM373,19.8769568054,-9,1,SAM356,SAM373
SAM356xSAM369,19.8770905284,-9,1,SAM356,SAM369
SAM358xSAM381,19.877251081,-9,1,SAM358,SAM381
SAM357xSAM382,19.878612317,-9,1,SAM357,SAM382
SAM356xSAM358,19.879668176,-9,1,SAM356,SAM358
SAM352xSAM372,19.8797175883,-9,1,SAM352,SAM372
SAM360xSAM362,19.8812738506,-9,1,SAM360,SAM362
SAM354xSAM362,19.8818129001,-9,1,SAM354,SAM362
SAM362xSAM379,19.8826785309,-9,1,SAM362,SAM379
SAM343xSAM382,19.8827594964,-9,1,SAM343,SAM382
SAM361xSAM378,19.8835689945,-9,1,SAM361,SAM378
SAM339xSAM362,19.8839426933,-9,1,SAM339,SAM362
SAM361xSAM367,19.8845141007,-9,1,SAM361,SAM367
SAM350xSAM366,19.8845713807,-9,1,SAM350,SAM366
SAM364xSAM382,19.8847455232,-9,1,SAM364,SAM382
SAM333xSAM366,19.885262437,-9,1,SAM333,SAM366
SAM372xSAM381,19.8860948308,-9,1,SAM372,SAM381
SAM336xSAM382,19.8876822217,-9,1,SAM336,SAM382
