genotype,Instruction,SAMID
PB80,large,SAM15
Oh603,large,SAM47
CI21E,large,SAM57
B164,large,SAM38
W153R,large,SAM54
PHG35,large,SAM14
LH85,large,SAM18
207,large,SAM20
B109,large,SAM24
B73,large,SAM43
B73Htrhm,large,SAM26
A680,large,SAM29
NC310,large,SAM37
NC294,large,SAM35
DJ7,large,SAM25
Il677a,large,SAM8
NC328,large,SAM19
SD40,large,SAM51
R229,large,SAM30
NC326,large,SAM10
NC324,large,SAM7
NC306,large,SAM17
NC368,large,SAM39
CM7,large,SAM40
P39,large,SAM6
W117Ht,large,SAM41
F42,large,SAM3
N192,large,SAM53
A679,large,SAM52
764,large,SAM36
PHG83,large,SAM55
PHG86,large,SAM59
ND246,large,SAM1
CO255,large,SAM2
F7,large,SAM5
A554,large,SAM9
S8324,large,SAM11
LP5,large,SAM12
H8431,large,SAM21
CO106,large,SAM28
EP1,large,SAM45
W182B,large,SAM46
C49A,large,SAM49
CMV3,large,SAM56
PHT77,large,SAM58
A679,large,SAM52
CI64,small,SAM337
NC348,small,SAM352
NC320,small,SAM356
NC258,small,SAM365
K64,small,SAM361
NC318,small,SAM339
NC296,small,SAM382
CML154Q,small,SAM369
NC296A,small,SAM366
NC346,small,SAM375
NC236,small,SAM335
LH60,small,SAM374
CML322,small,SAM377
Mp339,small,SAM363
E2558W,small,SAM334
NC222,small,SAM350
Ki21,small,SAM358
NC352,small,SAM362
CML91,small,SAM378
Ki43,small,SAM341
4722,small,SAM332
B10,small,SAM333
MDF-13D,small,SAM329
Ms71,small,SAM360
R168,small,SAM354
IDS91,small,SAM343
B57,small,SAM381
B14A,small,SAM357
B104,small,SAM379
Hp301,small,SAM351
HB8229,small,SAM367
NC314,small,SAM380
B79,small,SAM364
NC342,small,SAM348
K148,small,SAM355
B68,small,SAM370
NC264,small,SAM353
SA24,small,SAM344
DE1,small,SAM347
Black Jewell 85,small,SAM330
MS1334,small,SAM372
A634,small,SAM336
G80,small,SAM349
5707,small,SAM331
B64,small,SAM373
