SAMID,ID_in_phenofile,accession,mean_volume,measure_sd,log2vol,ID_in_snpfile
SAM20,207,PI601005,1972329.5,587175.14,20.91146916,X207
SAM36,764,PI601374,1773215.7,379332.49,20.75793661,X764
SAM22,778,PI601375,1952568.1,526718.77,20.89694144,X778
SAM31,779,PI601376,1832835.4,566203,20.8056458,X779
SAM23,792,NSL243016,1951950.1,NA,20.89648474,X792
SAM184,793,PI601492,1080314,293746.26,20.04301927,X793
SAM33,807,PI601430,1787744.3,200682.14,20.76970897,X807
SAM70,4226,NSL30904,1442967.7,305515.07,20.46060758,X4226
SAM332,4722,PI587130,656802.9,NA,19.32510097,X4722
SAM331,5707,PI601269,660435.3,236193.18,19.33305771,X5707
SAM141,11430,PI601558,1171472.2,394663.06,20.15989129,X11430
SAM206,78004,PI601210,984262.3,223600.01,19.90868331,X78004
SAM140,78010,PI601211,1171838,417160.16,20.16034171,X78010
SAM169,29MIBZ2,PI548830,1100574.6,383335.79,20.06982551,X29MIBZ2
SAM83,2FACC,PI601808,1369651.7,582164.57,20.38537763,X2FACC
SAM183,2MA22,PI601560,1081013.4,389430.07,20.04395298,X2MA22
SAM175,33-16,Ames26771,1096597.7,208039.78,20.06460292,X33.16
SAM154,38-11,Ames26604,1135569.7,144312.71,20.11498483,X38.11
SAM110,3IIH6,PI564754,1269106.9,420647.96,20.27538217,X3IIH6
SAM72,4676A,PI601300,1421062.8,225623.65,20.43853888,X4676A
SAM159,6F629,PI546483,1123434.7,41166.91,20.09948484,X6F629
SAM309,78371A,PI601438,720855.7,51066.85,19.45935097,X78371A
SAM225,78551S,PI601562,924540.3,425387.66,19.81837668,X78551S
SAM93,A188,Ames22443,1328312.2,368460.42,20.34116284,A188
SAM290,A214N,PI406112,755878.8,NA,19.5277954,A214N
SAM121,A239,Ames23405,1223096.9,288373.38,20.22210728,A239
SAM228,A272,Ames27063,921622.1,511971.72,19.81381579,NA
SAM307,A441-5,Ames27064,725257.4,NA,19.46813359,A441.5
SAM9,A554,PI587138,2502481.8,725522.76,21.25492815,A554
SAM286,A556,Ames23450,762506.4,86706.49,19.54038992,A556
SAM112,A6,Ames27062,1262724.6,331287.4,20.26810859,A6
SAM192,A619,PI587139,1051960.9,157564.7,20.00464965,A619
SAM259,A632,PI587140,829337.7,122075.21,19.66160015,A632
SAM336,A634,Ames19308,642084.9,124555.47,19.29240455,A634
SAM291,A635,Ames19309,752168.4,161507.43,19.52069617,A635
SAM128,A641,Ames19311,1208588.4,766572.3,20.20489157,A641
SAM318,A654,PI587141,707977.5,NA,19.43334399,A654
SAM90,A659,NSL81599,1349504.7,326222.38,20.36399857,A659
SAM236,A661,PI607521,908308.6,327231.43,19.79282301,A661
SAM52,A679,PI587142,1602993.7,294958,20.61233732,A679
SAM29,A680,Ames23503,1849144.7,682817.22,20.81842669,A680
SAM327,A682,PI587143,674863.5,294132.82,19.3642362,A682
SAM77,Ab28A,Ames18999,1404880.1,457193.11,20.42201558,Ab28A
SAM138,AQA3,PI564749,1185039.1,126209.15,20.17650323,AQA3
SAM333,B10,NSL65865,650977.3,278291.34,19.31224771,B10
SAM299,B103,PI594046,738338.1,229048.05,19.49392208,B103
SAM379,B104,PI594047,479194.9,32213.2,18.87025303,B104
SAM134,B105,PI594048,1192425.4,113194.16,20.18546758,B105
SAM24,B109,PI597927,1910229.7,65924.49,20.8653147,B109
SAM232,B115,PI615190,912493.8,120694.96,19.79945523,NA
SAM357,B14A,PI550461,556750.3,153702.07,19.0866709,B14A
SAM38,B164,Ames27066,1731513.4,263736.43,20.72360212,B164
SAM92,B2,Ames26769,1339806.7,410605.4,20.35359344,B2
SAM113,B37,PI550467,1257152.5,364003.79,20.26172824,B37
SAM269,B46,PI550469,795607.9,66342.22,19.60169808,B46
SAM80,B52,PI550454,1379777.4,NA,20.3960041,B52
SAM381,B57,PI550472,461595.5,99841.94,18.81626963,B57
SAM373,B64,PI550440,500793.3,118427.02,18.93385574,B64
SAM370,B68,PI550465,507821.4,57852.24,18.95396167,B68
SAM43,B73,PI550473,1676948.8,55270.34,20.67740721,B73.
SAM26,B73Htrhm,Ames27065,1884286.9,482035.66,20.84558721,B73Htrhm
SAM142,B75,PI608774,1170215.4,191752.22,20.15834268,B75
SAM244,B76,PI550483,880846.6,219620.72,19.74853127,B76
SAM283,B77,PI608765,765965,232247.2,19.54691895,B77
SAM364,B79,PI608766,535034,NA,19.02927105,B79
SAM326,B84,PI608767,675835.6,202037.29,19.36631282,B84
SAM255,B97,PI564682,842793,186437.93,19.68481881,B97.
SAM330,BlackJewell85,PI601081,668203.5,NA,19.34992801,Black_Jewell_85
SAM187,BO9,PI601007,1074549.8,459899.26,20.03530092,BO9
SAM202,C103,Ames19284,994119.6,71051.01,19.9230599,C103
SAM288,C123,Ames19313,759678.9,212101.31,19.53503023,C123
SAM49,C49A,Ames27067,1624930.9,789810.49,20.63194694,C49A
