Genotype	arc_length	Fix
SAM1	123.61	1
SAM10	90.1568	1
SAM100	18.3407	1
SAM101	30.9416	1
SAM102	22.1564	1
SAM103	17.4544	1
SAM104	-1.3081	1
SAM105	14.6333	1
SAM106	32.1317	1
SAM107	35.7861	1
SAM108	37.9329	1
SAM109	9.5804	1
SAM11	96.6255	1
SAM110	18.5031	1
SAM111	14.997	1
SAM112	18.8203	1
SAM113	1.1081	1
SAM114	26.202	1
SAM115	41.1701	1
SAM116	62.442	1
SAM117	28.672	1
SAM118	37.5976	1
SAM119	26.2879	1
SAM12	81.6776	1
SAM120	-2.2835	1
SAM121	10.1651	1
SAM122	17.5834	1
SAM123	5.8525	1
SAM124	-14.1829	1
SAM125	2.2029	1
SAM126	23.2294	1
SAM127	10.9346	1
SAM128	-12.5174	1
SAM129	33.7804	1
SAM13	44.6411	1
SAM130	19.1294	1
SAM131	11.4996	1
SAM132	7.3383	1
SAM133	20.2754	1
SAM134	-5.9889	1
SAM135	7.3933	1
SAM136	0.7547	1
SAM137	8.5127	1
SAM138	13.5241	1
SAM139	5.3774	1
SAM14	76.5138	1
SAM140	32.4845	1
SAM141	14.0963	1
SAM142	2.9882	1
SAM143	9.8677	1
SAM144	-15.0668	1
SAM145	7.9109	1
SAM146	0.7737	1
SAM147	-0.4775	1
SAM148	11.6656	1
SAM149	4.0863	1
SAM15	65.2227	1
SAM150	2.9025	1
SAM151	11.5598	1
SAM152	-15.0161	1
SAM153	1.9015	1
SAM154	12.357	1
SAM155	-0.1697	1
SAM156	-0.7704	1
SAM157	-18.8807	1
SAM158	-1.413	1
SAM159	-5.104	1
SAM16	136.74	1
SAM160	-5.5792	1
SAM161	30.4415	1
SAM162	6.4897	1
SAM163	5.0755	1
SAM164	0.6653	1
SAM165	-0.04338	1
SAM166	-3.68	1
SAM167	-25.4738	1
SAM168	2.2113	1
SAM169	30.5213	1
SAM17	94.7985	1
SAM170	20.829	1
SAM171	15.7819	1
SAM172	22.2577	1
SAM173	9.1197	1
SAM174	6.5476	1
SAM175	12.003	1
SAM176	36.8251	1
SAM177	-5.8255	1
SAM178	-9.134	1
SAM179	-3.0576	1
SAM18	34.5816	1
SAM180	-22.4216	1
SAM181	21.0654	1
SAM182	-19.9262	1
SAM183	19.7602	1
SAM184	-5.7599	1
SAM185	-10.3544	1
SAM186	22.7027	1
SAM187	0.5851	1
SAM188	13.5682	1
SAM189	-4.8779	1
SAM19	74.9768	1
SAM190	-28.8188	1
SAM191	31.8	1
SAM192	-0.2268	1
SAM193	5.655	1
SAM194	17.0188	1
SAM195	-15.9308	1
SAM196	-10.163	1
SAM197	-18.5106	1
SAM198	-10.86	1
SAM199	-4.9107	1
SAM2	115.79	1
SAM20	64.8161	1
SAM200	-26.5981	1
SAM201	-12.6891	1
SAM202	-6.7831	1
SAM203	-2.196	1
SAM204	-33.9138	1
SAM205	-9.6248	1
SAM206	-15.2281	1
SAM207	-20.8151	1
SAM208	26.7012	1
SAM209	-3.7712	1
SAM21	66.6253	1
SAM210	-28.5082	1
SAM211	-0.2534	1
SAM212	18.3342	1
SAM213	10.6926	1
SAM214	-18.0485	1
SAM215	-19.9495	1
SAM216	-17.4582	1
SAM217	-4.9903	1
SAM218	9.0488	1
SAM219	-26.8783	1
SAM22	64.126	1
SAM220	-12.4336	1
SAM221	-10.6137	1
SAM222	-7.1147	1
SAM223	-25.7579	1
SAM224	-2.2759	1
