p1	p2	genotype
SAM1	SAM2	SAM1xSAM2
SAM1	SAM3	SAM1xSAM3
SAM1	SAM5	SAM1xSAM5
SAM1	SAM6	SAM1xSAM6
SAM1	SAM7	SAM1xSAM7
SAM1	SAM8	SAM1xSAM8
SAM1	SAM9	SAM1xSAM9
SAM1	SAM10	SAM1xSAM10
SAM1	SAM11	SAM1xSAM11
SAM1	SAM12	SAM1xSAM12
SAM1	SAM14	SAM1xSAM14
SAM1	SAM15	SAM1xSAM15
SAM1	SAM17	SAM1xSAM17
SAM1	SAM18	SAM1xSAM18
SAM1	SAM19	SAM1xSAM19
SAM1	SAM20	SAM1xSAM20
SAM1	SAM21	SAM1xSAM21
SAM1	SAM24	SAM1xSAM24
SAM1	SAM25	SAM1xSAM25
SAM1	SAM26	SAM1xSAM26
SAM1	SAM28	SAM1xSAM28
SAM1	SAM29	SAM1xSAM29
SAM1	SAM30	SAM1xSAM30
SAM1	SAM35	SAM1xSAM35
SAM1	SAM36	SAM1xSAM36
SAM1	SAM37	SAM1xSAM37
SAM1	SAM38	SAM1xSAM38
SAM1	SAM39	SAM1xSAM39
SAM1	SAM40	SAM1xSAM40
SAM1	SAM41	SAM1xSAM41
SAM1	SAM43	SAM1xSAM43
SAM1	SAM45	SAM1xSAM45
SAM1	SAM46	SAM1xSAM46
SAM1	SAM47	SAM1xSAM47
SAM1	SAM49	SAM1xSAM49
SAM1	SAM51	SAM1xSAM51
SAM1	SAM52	SAM1xSAM52
SAM1	SAM53	SAM1xSAM53
SAM1	SAM54	SAM1xSAM54
SAM1	SAM55	SAM1xSAM55
SAM1	SAM56	SAM1xSAM56
SAM1	SAM57	SAM1xSAM57
SAM1	SAM58	SAM1xSAM58
SAM1	SAM59	SAM1xSAM59
SAM2	SAM3	SAM2xSAM3
SAM2	SAM5	SAM2xSAM5
SAM2	SAM6	SAM2xSAM6
SAM2	SAM7	SAM2xSAM7
SAM2	SAM8	SAM2xSAM8
SAM2	SAM9	SAM2xSAM9
SAM2	SAM10	SAM2xSAM10
SAM2	SAM11	SAM2xSAM11
SAM2	SAM12	SAM2xSAM12
SAM2	SAM14	SAM2xSAM14
SAM2	SAM15	SAM2xSAM15
SAM2	SAM17	SAM2xSAM17
SAM2	SAM18	SAM2xSAM18
SAM2	SAM19	SAM2xSAM19
SAM2	SAM20	SAM2xSAM20
SAM2	SAM21	SAM2xSAM21
SAM2	SAM24	SAM2xSAM24
SAM2	SAM25	SAM2xSAM25
SAM2	SAM26	SAM2xSAM26
SAM2	SAM28	SAM2xSAM28
SAM2	SAM29	SAM2xSAM29
SAM2	SAM30	SAM2xSAM30
SAM2	SAM35	SAM2xSAM35
SAM2	SAM36	SAM2xSAM36
SAM2	SAM37	SAM2xSAM37
SAM2	SAM38	SAM2xSAM38
SAM2	SAM39	SAM2xSAM39
SAM2	SAM40	SAM2xSAM40
SAM2	SAM41	SAM2xSAM41
SAM2	SAM43	SAM2xSAM43
SAM2	SAM45	SAM2xSAM45
SAM2	SAM46	SAM2xSAM46
SAM2	SAM47	SAM2xSAM47
SAM2	SAM49	SAM2xSAM49
SAM2	SAM51	SAM2xSAM51
SAM2	SAM52	SAM2xSAM52
SAM2	SAM53	SAM2xSAM53
SAM2	SAM54	SAM2xSAM54
SAM2	SAM55	SAM2xSAM55
SAM2	SAM56	SAM2xSAM56
SAM2	SAM57	SAM2xSAM57
SAM2	SAM58	SAM2xSAM58
SAM2	SAM59	SAM2xSAM59
SAM3	SAM5	SAM3xSAM5
SAM3	SAM6	SAM3xSAM6
SAM3	SAM7	SAM3xSAM7
SAM3	SAM8	SAM3xSAM8
SAM3	SAM9	SAM3xSAM9
SAM3	SAM10	SAM3xSAM10
SAM3	SAM11	SAM3xSAM11
SAM3	SAM12	SAM3xSAM12
SAM3	SAM14	SAM3xSAM14
SAM3	SAM15	SAM3xSAM15
SAM3	SAM17	SAM3xSAM17
SAM3	SAM18	SAM3xSAM18
SAM3	SAM19	SAM3xSAM19
SAM3	SAM20	SAM3xSAM20
SAM3	SAM21	SAM3xSAM21
SAM3	SAM24	SAM3xSAM24
SAM3	SAM25	SAM3xSAM25
SAM3	SAM26	SAM3xSAM26
SAM3	SAM28	SAM3xSAM28
SAM3	SAM29	SAM3xSAM29
SAM3	SAM30	SAM3xSAM30
SAM3	SAM35	SAM3xSAM35
SAM3	SAM36	SAM3xSAM36
SAM3	SAM37	SAM3xSAM37
SAM3	SAM38	SAM3xSAM38
SAM3	SAM39	SAM3xSAM39
SAM3	SAM40	SAM3xSAM40
SAM3	SAM41	SAM3xSAM41
SAM3	SAM43	SAM3xSAM43
SAM3	SAM45	SAM3xSAM45
SAM3	SAM46	SAM3xSAM46
SAM3	SAM47	SAM3xSAM47
