Genotype,gHat,log2vol,Fix,P1,P2
SAM47xSAM57,19.483458102,-9,1,SAM47,SAM57
SAM47xSAM58,19.528897852,-9,1,SAM47,SAM58
SAM47xSAM55,19.533310026,-9,1,SAM47,SAM55
SAM40xSAM47,19.534671932,-9,1,SAM40,SAM47
SAM47xSAM59,19.535234928,-9,1,SAM47,SAM59
SAM38xSAM47,19.541634977,-9,1,SAM38,SAM47
SAM47xSAM51,19.55961895,-9,1,SAM47,SAM51
SAM20xSAM47,19.565926075,-9,1,SAM20,SAM47
SAM47xSAM49,19.575245589,-9,1,SAM47,SAM49
SAM7xSAM47,19.583814472,-9,1,SAM7,SAM47
SAM47xSAM56,19.585361987,-9,1,SAM47,SAM56
SAM47xSAM54,19.595137805,-9,1,SAM47,SAM54
SAM46xSAM47,19.604132145,-9,1,SAM46,SAM47
SAM21xSAM47,19.614494085,-9,1,SAM21,SAM47
SAM28xSAM47,19.617931813,-9,1,SAM28,SAM47
SAM57xSAM58,19.630847782,-9,1,SAM57,SAM58
SAM55xSAM57,19.635259509,-9,1,SAM55,SAM57
SAM40xSAM57,19.636623978,-9,1,SAM40,SAM57
SAM57xSAM59,19.637192905,-9,1,SAM57,SAM59
SAM18xSAM47,19.641550392,-9,1,SAM18,SAM47
SAM38xSAM57,19.643588155,-9,1,SAM38,SAM57
SAM14xSAM47,19.654151708,-9,1,SAM14,SAM47
SAM47xSAM53,19.656854302,-9,1,SAM47,SAM53
SAM36xSAM47,19.656942755,-9,1,SAM36,SAM47
SAM45xSAM47,19.658429235,-9,1,SAM45,SAM47
SAM30xSAM47,19.658473164,-9,1,SAM30,SAM47
SAM51xSAM57,19.66157031,-9,1,SAM51,SAM57
SAM35xSAM47,19.666404247,-9,1,SAM35,SAM47
SAM20xSAM57,19.667879015,-9,1,SAM20,SAM57
SAM49xSAM57,19.67719841,-9,1,SAM49,SAM57
SAM55xSAM58,19.680695861,-9,1,SAM55,SAM58
SAM40xSAM58,19.682064473,-9,1,SAM40,SAM58
SAM58xSAM59,19.682628274,-9,1,SAM58,SAM59
SAM7xSAM57,19.685763568,-9,1,SAM7,SAM57
SAM40xSAM55,19.686475575,-9,1,SAM40,SAM55
SAM55xSAM59,19.687035531,-9,1,SAM55,SAM59
SAM56xSAM57,19.687315315,-9,1,SAM56,SAM57
SAM40xSAM59,19.68840307,-9,1,SAM40,SAM59
SAM41xSAM47,19.688881159,-9,1,SAM41,SAM47
SAM38xSAM58,19.689029246,-9,1,SAM38,SAM58
SAM38xSAM55,19.69344151,-9,1,SAM38,SAM55
SAM38xSAM40,19.694803387,-9,1,SAM38,SAM40
SAM39xSAM47,19.695250183,-9,1,SAM39,SAM47
SAM38xSAM59,19.695368498,-9,1,SAM38,SAM59
SAM54xSAM57,19.697088331,-9,1,SAM54,SAM57
SAM46xSAM57,19.706085682,-9,1,SAM46,SAM57
SAM51xSAM58,19.707005381,-9,1,SAM51,SAM58
SAM51xSAM55,19.711413294,-9,1,SAM51,SAM55
SAM40xSAM51,19.712781191,-9,1,SAM40,SAM51
SAM20xSAM58,19.71331504,-9,1,SAM20,SAM58
SAM51xSAM59,19.713345349,-9,1,SAM51,SAM59
SAM47xSAM52,19.715849191,-9,1,SAM47,SAM52
SAM21xSAM57,19.716442287,-9,1,SAM21,SAM57
SAM20xSAM55,19.717724383,-9,1,SAM20,SAM55
SAM20xSAM40,19.719088018,-9,1,SAM20,SAM40
SAM20xSAM59,19.719653606,-9,1,SAM20,SAM59
SAM38xSAM51,19.719749272,-9,1,SAM38,SAM51
SAM28xSAM57,19.719887465,-9,1,SAM28,SAM57
SAM49xSAM58,19.722636789,-9,1,SAM49,SAM58
