Genotype	log2vol	Fix
SAM353	19.1236447886776	1
SAM84	20.3806140998045	1
SAM173	20.0653774770171	1
SAM250	19.7083463597522	1
SAM141	20.1598912875901	1
SAM91	20.3596583124994	1
SAM243	19.7535012728136	1
SAM89	20.3725876133323	1
SAM318	19.4333439856572	1
SAM135	20.1820074046094	1
SAM371	18.9477071306627	1
SAM138	20.1765032305114	1
SAM56	20.5903505722799	1
SAM201	19.9373057094555	1
SAM158	20.1017113051067	1
SAM85	20.3804810408452	1
SAM315	19.4450322293851	1
SAM5	21.4747418270981	1
SAM231	19.7996394110114	1
SAM373	18.9338557353467	1
SAM155	20.1076191193075	1
SAM247	19.7216114032748	1
SAM35	20.7637164120319	1
SAM271	19.5901164322002	1
SAM140	20.1603417084095	1
SAM206	19.9086833108159	1
SAM152	20.1252966685648	1
SAM12	21.0876789485794	1
SAM166	20.0863092466024	1
SAM87	20.3756570641178	1
SAM334	19.2978461275327	1
SAM18	21.0044287655088	1
SAM113	20.2617282371008	1
SAM3	21.5934410939177	1
SAM21	20.9113513886512	1
SAM24	20.865314698227	1
SAM239	19.7641506136915	1
SAM30	20.8174769599435	1
SAM157	20.1018852894355	1
SAM105	20.3009411316571	1
SAM144	20.1485045112843	1
SAM171	20.0675421565447	1
SAM251	19.7011675132832	1
SAM19	20.9510798433039	1
SAM1	21.9447787151277	1
SAM159	20.0994848391699	1
SAM98	20.3138404999013	1
SAM348	19.1860320020325	1
SAM147	20.1419179056284	1
SAM180	20.0478818192865	1
SAM242	19.7587744605168	1
SAM281	19.5505589222355	1
SAM132	20.1917748068742	1
SAM233	19.7955263612443	1
SAM52	20.612337324825	1
SAM280	19.558411557376	1
SAM211	19.8874080574795	1
SAM341	19.283094006632	1
SAM165	20.0874643951633	1
SAM117	20.2413766562242	1
SAM176	20.0597240299504	1
SAM72	20.4385388812916	1
SAM331	19.333057708216	1
SAM34	20.7677962645834	1
SAM94	20.3375523272454	1
SAM332	19.3251009715379	1
SAM319	19.4141120734567	1
SAM219	19.8397576983991	1
SAM32	20.7823199951431	1
SAM297	19.5019749572547	1
SAM48	20.6464066518829	1
SAM125	20.2095424889339	1
SAM26	20.84558721458	1
SAM204	19.9144457201038	1
SAM148	20.1352117711023	1
SAM6	21.3593059194906	1
SAM296	19.5140625278918	1
SAM53	20.6108630010324	1
SAM358	19.0814506700028	1
SAM170	20.0681272119311	1
SAM237	19.7806565421532	1
SAM63	20.5448496618759	1
SAM41	20.7106727686661	1
SAM367	19.002812269246	1
SAM123	20.2131178692333	1
SAM301	19.4893317352884	1
SAM212	19.8740581521845	1
SAM169	20.0698255077407	1
SAM107	20.2962691856827	1
SAM161	20.0959222314925	1
SAM229	19.8075723703608	1
SAM209	19.9010941859544	1
SAM220	19.8379607912307	1
SAM258	19.6636390561944	1
SAM76	20.4264990032515	1
SAM133	20.1912343198469	1
SAM313	19.4471373198005	1
SAM300	19.4923650948935	1
SAM282	19.5481033690878	1
SAM183	20.0439529758322	1
SAM120	20.2277947745499	1
SAM228	19.8138157866794	1
SAM378	18.8752852980271	1
SAM304	19.4794426059063	1
SAM287	19.5356360964221	1
SAM240	19.7605883916902	1
SAM79	20.401699834985	1
SAM136	20.1812493341765	1
SAM49	20.6319469383287	1
SAM302	19.4859324658206	1
SAM360	19.067737376404	1
SAM33	20.7697089727904	1
SAM222	19.8316553239926	1
SAM57	20.5717223735163	1
SAM44	20.6662428166723	1
SAM364	19.0292710483297	1
SAM199	19.9565697148497	1
SAM379	18.8702530282566	1
SAM376	18.9153892497192	1
SAM42	20.6932288946418	1
SAM230	19.8064695392636	1
SAM187	20.0353009153269	1
SAM116	20.2520167390415	1
SAM86	20.3759283019691	1
SAM77	20.4220155776944	1
SAM121	20.2221072754066	1
SAM36	20.7579366105763	1
SAM244	19.7485312691912	1
SAM126	20.2090805111248	1
SAM346	19.2111660915481	1
SAM103	20.3048062814398	1
SAM370	18.9539616670263	1
SAM327	19.3642362021005	1
SAM110	20.2753821653782	1
SAM68	20.4905961981291	1
SAM129	20.201569971939	1
SAM181	20.0471864981366	1
SAM38	20.7236021217676	1
SAM261	19.6416919335543	1
SAM272	19.5811157890227	1
SAM208	19.9046490264396	1
SAM102	20.3076738801405	1
SAM238	19.7764134332707	1
SAM64	20.5363429405805	1
SAM372	18.9341855514623	1
SAM305	19.4772112083145	1
SAM67	20.4957729698682	1
SAM269	19.6016980759406	1
SAM249	19.7130006361254	1
SAM359	19.0811031784224	1
SAM13	21.0711142900854	1
SAM118	20.2367572266012	1
SAM127	20.2089019638388	1
SAM234	19.7938912480616	1
SAM289	19.5349020315831	1
SAM80	20.3960041045741	1
SAM149	20.1331863725814	1
SAM59	20.5572500630143	1
SAM375	18.9185243672103	1
SAM145	20.1484014812337	1
SAM339	19.2859981611697	1
SAM23	20.8964847413834	1
SAM114	20.2555373838966	1
SAM368	18.9857852471514	1
SAM20	20.9114691597347	1
SAM352	19.1318192894786	1
SAM177	20.054453022477	1
SAM61	20.5486988846893	1
SAM8	21.2812764746122	1
SAM307	19.468133585148	1
SAM95	20.3298426433854	1
SAM97	20.3168474045169	1
SAM143	20.1540375751246	1
SAM10	21.117814160703	1
SAM14	21.0365974224734	1
SAM363	19.0473832935115	1
SAM190	20.0213160516413	1
SAM278	19.5691725096856	1
SAM39	20.7204869296808	1
SAM31	20.8056457980462	1
SAM62	20.5471400515451	1
SAM101	20.309126255845	1
SAM350	19.1700137876201	1
SAM54	20.6085852982452	1
SAM73	20.4313269164365	1
SAM104	20.3027405426464	1
SAM345	19.2400862532117	1
SAM46	20.6642443148904	1
SAM128	20.2048915695914	1
SAM218	19.8400342663806	1
SAM58	20.5580266770445	1
SAM192	20.0046496518779	1
SAM330	19.3499280138583	1
SAM294	19.5179718912157	1
SAM191	20.0113746890162	1
SAM40	20.7119917275488	1
SAM314	19.4466889680018	1
SAM284	19.5439961853528	1
SAM259	19.6616001502352	1
SAM326	19.3663128216694	1
SAM275	19.5730143461193	1
SAM109	20.2847998186894	1
SAM108	20.2881285595765	1
SAM324	19.3779950536537	1
SAM299	19.4939220813664	1
SAM78	20.402475737183	1
SAM365	19.0229280057386	1
SAM257	19.67714599743	1
SAM162	20.0901230185532	1
SAM134	20.1854675811176	1
SAM381	18.8162696339503	1
SAM225	19.8183766814032	1
SAM329	19.3513197236401	1
SAM27	20.8343188888902	1
SAM71	20.457667036085	1
SAM153	20.115661063097	1
SAM369	18.983874274651	1
SAM253	19.686218552273	1
SAM11	21.1016262926051	1
SAM260	19.652223881205	1
SAM124	20.2112081646205	1
SAM252	19.6888815208823	1
SAM96	20.3259773451473	1
SAM174	20.0650817247967	1
SAM279	19.5645475326043	1
SAM290	19.5277954011364	1
SAM131	20.1940156787534	1
SAM316	19.4438561463775	1
SAM195	19.9920567898462	1
SAM308	19.463038167237	1
SAM312	19.4524158065241	1
SAM214	19.8653714161536	1
SAM347	19.2058416826266	1
SAM235	19.7932390971103	1
SAM266	19.6182974892685	1
SAM172	20.0675274516254	1
SAM175	20.0646029221714	1
SAM197	19.9700259627962	1
SAM139	20.175992308942	1
SAM306	19.4757991245244	1
SAM323	19.3978479912434	1
SAM362	19.0522127353334	1
SAM322	19.4011734791444	1
SAM321	19.4013764192031	1
SAM292	19.5199725026261	1
SAM216	19.857765851326	1
SAM163	20.0882516253288	1
SAM248	19.7201836258195	1
SAM99	20.3117207135146	1
SAM115	20.2524499267175	1
SAM310	19.4562268580284	1
SAM343	19.2624243117171	1
SAM112	20.2681085912377	1
SAM325	19.3734688616898	1
SAM380	18.8183968110138	1
SAM361	19.058760719699	1
SAM210	19.8953505833536	1
SAM291	19.5206961717737	1
SAM268	19.6020318703039	1
SAM60	20.5557689631864	1
SAM336	19.2924045454772	1
SAM295	19.5147812705869	1
SAM66	20.5072530479646	1
SAM50	20.6288988387375	1
SAM340	19.2859137509747	1
SAM185	20.0423357641959	1
SAM246	19.7235957894422	1
SAM196	19.9777649837128	1
SAM224	19.8232367648425	1
SAM4	21.4863945191914	1
SAM338	19.2878381590402	1
SAM342	19.2659340983408	1
SAM37	20.7289470112879	1
SAM255	19.6848188060253	1
SAM151	20.1270676111768	1
SAM17	21.0067047899602	1
SAM320	19.4099394670228	1
SAM164	20.0878317191304	1
SAM264	19.6205235892749	1
SAM283	19.5469189455948	1
SAM217	19.8537819484965	1
SAM207	19.9054874890268	1
SAM69	20.478813060169	1
SAM167	20.0747780636984	1
SAM119	20.2285704711199	1
SAM156	20.1050118896437	1
SAM45	20.6649807901359	1
SAM82	20.39069986629	1
SAM265	19.6194140136665	1
SAM88	20.3737564390352	1
SAM194	19.9948605451993	1
SAM262	19.6398536447881	1
SAM232	19.7994552308624	1
SAM25	20.860736915467	1
SAM142	20.1583426785429	1
SAM70	20.460607575618	1
SAM205	19.9107113798077	1
SAM267	19.6144940030807	1
SAM193	20.0034129112458	1
SAM22	20.8969414356525	1
SAM203	19.921653703406	1
SAM270	19.5913974318691	1
SAM137	20.177720506055	1
SAM74	20.4310036459068	1
SAM200	19.9437450339008	1
SAM51	20.6280989295822	1
