p1	p2	genotype
SAM329	SAM330	SAM329xSAM330
SAM329	SAM331	SAM329xSAM331
SAM329	SAM332	SAM329xSAM332
SAM329	SAM333	SAM329xSAM333
SAM329	SAM334	SAM329xSAM334
SAM329	SAM335	SAM329xSAM335
SAM329	SAM336	SAM329xSAM336
SAM329	SAM337	SAM329xSAM337
SAM329	SAM339	SAM329xSAM339
SAM329	SAM341	SAM329xSAM341
SAM329	SAM343	SAM329xSAM343
SAM329	SAM344	SAM329xSAM344
SAM329	SAM347	SAM329xSAM347
SAM329	SAM348	SAM329xSAM348
SAM329	SAM349	SAM329xSAM349
SAM329	SAM350	SAM329xSAM350
SAM329	SAM351	SAM329xSAM351
SAM329	SAM352	SAM329xSAM352
SAM329	SAM353	SAM329xSAM353
SAM329	SAM354	SAM329xSAM354
SAM329	SAM355	SAM329xSAM355
SAM329	SAM356	SAM329xSAM356
SAM329	SAM357	SAM329xSAM357
SAM329	SAM358	SAM329xSAM358
SAM329	SAM360	SAM329xSAM360
SAM329	SAM361	SAM329xSAM361
SAM329	SAM362	SAM329xSAM362
SAM329	SAM363	SAM329xSAM363
SAM329	SAM364	SAM329xSAM364
SAM329	SAM365	SAM329xSAM365
SAM329	SAM366	SAM329xSAM366
SAM329	SAM367	SAM329xSAM367
SAM329	SAM369	SAM329xSAM369
SAM329	SAM370	SAM329xSAM370
SAM329	SAM372	SAM329xSAM372
SAM329	SAM373	SAM329xSAM373
SAM329	SAM374	SAM329xSAM374
SAM329	SAM375	SAM329xSAM375
SAM329	SAM377	SAM329xSAM377
SAM329	SAM378	SAM329xSAM378
SAM329	SAM379	SAM329xSAM379
SAM329	SAM380	SAM329xSAM380
SAM329	SAM381	SAM329xSAM381
SAM329	SAM382	SAM329xSAM382
SAM330	SAM331	SAM330xSAM331
SAM330	SAM332	SAM330xSAM332
SAM330	SAM333	SAM330xSAM333
SAM330	SAM334	SAM330xSAM334
SAM330	SAM335	SAM330xSAM335
SAM330	SAM336	SAM330xSAM336
SAM330	SAM337	SAM330xSAM337
SAM330	SAM339	SAM330xSAM339
SAM330	SAM341	SAM330xSAM341
SAM330	SAM343	SAM330xSAM343
SAM330	SAM344	SAM330xSAM344
SAM330	SAM347	SAM330xSAM347
SAM330	SAM348	SAM330xSAM348
SAM330	SAM349	SAM330xSAM349
SAM330	SAM350	SAM330xSAM350
SAM330	SAM351	SAM330xSAM351
SAM330	SAM352	SAM330xSAM352
SAM330	SAM353	SAM330xSAM353
SAM330	SAM354	SAM330xSAM354
SAM330	SAM355	SAM330xSAM355
SAM330	SAM356	SAM330xSAM356
SAM330	SAM357	SAM330xSAM357
SAM330	SAM358	SAM330xSAM358
SAM330	SAM360	SAM330xSAM360
SAM330	SAM361	SAM330xSAM361
SAM330	SAM362	SAM330xSAM362
SAM330	SAM363	SAM330xSAM363
SAM330	SAM364	SAM330xSAM364
SAM330	SAM365	SAM330xSAM365
SAM330	SAM366	SAM330xSAM366
SAM330	SAM367	SAM330xSAM367
SAM330	SAM369	SAM330xSAM369
SAM330	SAM370	SAM330xSAM370
SAM330	SAM372	SAM330xSAM372
SAM330	SAM373	SAM330xSAM373
SAM330	SAM374	SAM330xSAM374
SAM330	SAM375	SAM330xSAM375
SAM330	SAM377	SAM330xSAM377
SAM330	SAM378	SAM330xSAM378
SAM330	SAM379	SAM330xSAM379
SAM330	SAM380	SAM330xSAM380
SAM330	SAM381	SAM330xSAM381
SAM330	SAM382	SAM330xSAM382
SAM331	SAM332	SAM331xSAM332
SAM331	SAM333	SAM331xSAM333
SAM331	SAM334	SAM331xSAM334
SAM331	SAM335	SAM331xSAM335
SAM331	SAM336	SAM331xSAM336
SAM331	SAM337	SAM331xSAM337
SAM331	SAM339	SAM331xSAM339
SAM331	SAM341	SAM331xSAM341
SAM331	SAM343	SAM331xSAM343
SAM331	SAM344	SAM331xSAM344
SAM331	SAM347	SAM331xSAM347
SAM331	SAM348	SAM331xSAM348
SAM331	SAM349	SAM331xSAM349
SAM331	SAM350	SAM331xSAM350
SAM331	SAM351	SAM331xSAM351
SAM331	SAM352	SAM331xSAM352
SAM331	SAM353	SAM331xSAM353
SAM331	SAM354	SAM331xSAM354
SAM331	SAM355	SAM331xSAM355
SAM331	SAM356	SAM331xSAM356
SAM331	SAM357	SAM331xSAM357
SAM331	SAM358	SAM331xSAM358
SAM331	SAM360	SAM331xSAM360
SAM331	SAM361	SAM331xSAM361
SAM331	SAM362	SAM331xSAM362
SAM331	SAM363	SAM331xSAM363
SAM331	SAM364	SAM331xSAM364
SAM331	SAM365	SAM331xSAM365
SAM331	SAM366	SAM331xSAM366
SAM331	SAM367	SAM331xSAM367
SAM331	SAM369	SAM331xSAM369
SAM331	SAM370	SAM331xSAM370
SAM331	SAM372	SAM331xSAM372
SAM331	SAM373	SAM331xSAM373
SAM331	SAM374	SAM331xSAM374
SAM331	SAM375	SAM331xSAM375
SAM331	SAM377	SAM331xSAM377
SAM331	SAM378	SAM331xSAM378
SAM331	SAM379	SAM331xSAM379
SAM331	SAM380	SAM331xSAM380
SAM331	SAM381	SAM331xSAM381
SAM331	SAM382	SAM331xSAM382
SAM332	SAM333	SAM332xSAM333
SAM332	SAM334	SAM332xSAM334
SAM332	SAM335	SAM332xSAM335
SAM332	SAM336	SAM332xSAM336
SAM332	SAM337	SAM332xSAM337
SAM332	SAM339	SAM332xSAM339
SAM332	SAM341	SAM332xSAM341
SAM332	SAM343	SAM332xSAM343
SAM332	SAM344	SAM332xSAM344
SAM332	SAM347	SAM332xSAM347
SAM332	SAM348	SAM332xSAM348
SAM332	SAM349	SAM332xSAM349
SAM332	SAM350	SAM332xSAM350
SAM332	SAM351	SAM332xSAM351
SAM332	SAM352	SAM332xSAM352
SAM332	SAM353	SAM332xSAM353
SAM332	SAM354	SAM332xSAM354
SAM332	SAM355	SAM332xSAM355
SAM332	SAM356	SAM332xSAM356
SAM332	SAM357	SAM332xSAM357
SAM332	SAM358	SAM332xSAM358
SAM332	SAM360	SAM332xSAM360
SAM332	SAM361	SAM332xSAM361
SAM332	SAM362	SAM332xSAM362
SAM332	SAM363	SAM332xSAM363
SAM332	SAM364	SAM332xSAM364
SAM332	SAM365	SAM332xSAM365
SAM332	SAM366	SAM332xSAM366
SAM332	SAM367	SAM332xSAM367
SAM332	SAM369	SAM332xSAM369
SAM332	SAM370	SAM332xSAM370
SAM332	SAM372	SAM332xSAM372
SAM332	SAM373	SAM332xSAM373
SAM332	SAM374	SAM332xSAM374
SAM332	SAM375	SAM332xSAM375
SAM332	SAM377	SAM332xSAM377
SAM332	SAM378	SAM332xSAM378
SAM332	SAM379	SAM332xSAM379
SAM332	SAM380	SAM332xSAM380
SAM332	SAM381	SAM332xSAM381
SAM332	SAM382	SAM332xSAM382
SAM333	SAM334	SAM333xSAM334
SAM333	SAM335	SAM333xSAM335
SAM333	SAM336	SAM333xSAM336
